시군구별,행정동,비율,기울기,2023_출생아수,2023_동별_추정출생아수,연간_인구감소폭,2024_출생아수,2025_출생아수,2026_출생아수,2027_출생아수,2028_출생아수,2029_출생아수
마포구,망원제1동,0.03856562922868741,-201.14285714285714,1571.0,61,-7.7572008505702685,53,45,37,30,22,14
마포구,망원제2동,0.031799729364005415,-201.14285714285714,1571.0,50,-6.396288420645661,44,37,31,24,18,12
마포구,상암동,0.05074424898511502,-201.14285714285714,1571.0,80,-10.206843224434564,70,59,49,39,29,18
마포구,서강동,0.05751014884979702,-201.14285714285714,1571.0,90,-11.567755654359171,79,67,56,44,33,21
마포구,서교동,0.03721244925575101,-201.14285714285714,1571.0,58,-7.485018364585346,51,43,36,29,21,14
마포구,성산제1동,0.036535859269282815,-201.14285714285714,1571.0,57,-7.348927121592886,50,43,35,28,21,13
마포구,성산제2동,0.13058186738836267,-201.14285714285714,1571.0,205,-26.265609897544948,179,153,126,100,74,48
마포구,신수동,0.07239512855209743,-201.14285714285714,1571.0,114,-14.561763000193311,99,85,70,55,41,26
마포구,아현동,0.16576454668470908,-201.14285714285714,1571.0,260,-33.342354533152914,227,194,160,127,94,60
마포구,연남동,0.031799729364005415,-201.14285714285714,1571.0,50,-6.396288420645661,44,37,31,24,18,12
마포구,염리동,0.05345060893098782,-201.14285714285714,1571.0,84,-10.751208196404408,73,62,52,41,30,19
마포구,용강동,0.060216508795669824,-201.14285714285714,1571.0,95,-12.112120626329016,82,70,58,46,34,22
마포구,합정동,0.03924221921515562,-201.14285714285714,1571.0,62,-7.89329209356273,54,46,38,30,22,14
서대문구,남가좌제1동,0.05573770491803279,-89.03571428571426,1301.0,73,-4.9626463700234185,68,63,58,53,48,43
서대문구,남가좌제2동,0.10245901639344263,-89.03571428571426,1301.0,133,-9.122511709601872,124,115,106,97,88,79
서대문구,북가좌제1동,0.05737704918032787,-89.03571428571426,1301.0,75,-5.108606557377048,70,64,59,54,49,44
서대문구,북가좌제2동,0.07131147540983607,-89.03571428571426,1301.0,93,-6.349268149882903,86,80,74,67,61,55
서대문구,북아현동,0.08442622950819673,-89.03571428571426,1301.0,110,-7.516949648711942,102,95,87,80,72,65
서대문구,신촌동,0.05,-89.03571428571426,1301.0,65,-4.451785714285713,61,56,52,47,43,38
서대문구,연희동,0.06967213114754098,-89.03571428571426,1301.0,91,-6.203307962529272,84,78,72,66,60,53
서대문구,천연동,0.07540983606557378,-89.03571428571426,1301.0,98,-6.714168618266978,91,85,78,71,65,58
서대문구,충현동,0.06147540983606557,-89.03571428571426,1301.0,80,-5.473507025761123,75,69,64,58,53,47
서대문구,홍은제1동,0.08196721311475409,-89.03571428571426,1301.0,107,-7.298009367681496,99,92,85,77,70,63
서대문구,홍은제2동,0.09754098360655737,-89.03571428571426,1301.0,127,-8.684631147540982,118,110,101,92,83,75
서대문구,홍제제1동,0.0942622950819672,-89.03571428571426,1301.0,123,-8.392710772833722,114,106,97,89,81,72
서대문구,홍제제2동,0.04180327868852459,-89.03571428571426,1301.0,54,-3.7219847775175636,51,47,43,39,36,32
서대문구,홍제제3동,0.056557377049180325,-89.03571428571426,1301.0,74,-5.035626463700233,69,64,58,53,48,43
서초구,내곡동,0.04833647206528562,-232.67857142857142,1687.0,82,-11.246861268047708,70,59,48,37,25,14
서초구,반포1동,0.0696798493408663,-232.67857142857142,1687.0,118,-16.21300780199085,101,85,69,53,36,20
서초구,반포2동,0.062146892655367235,-232.67857142857142,1687.0,105,-14.460250201775626,90,76,61,47,33,18
서초구,반포3동,0.064030131826742,-232.67857142857142,1687.0,108,-14.898439601829432,93,78,63,48,34,19
서초구,반포4동,0.04770872567482737,-232.67857142857142,1687.0,80,-11.100798134696438,69,58,47,36,25,14
서초구,반포본동,0.0006277463904582549,-232.67857142857142,1687.0,1,-0.14606313335126894,1,1,1,0,0,0
서초구,방배1동,0.03954802259887006,-232.67857142857142,1687.0,67,-9.201977401129945,58,48,39,30,21,12
서초구,방배2동,0.044569993722536096,-232.67857142857142,1687.0,75,-10.370482467940095,65,54,44,34,23,13
서초구,방배3동,0.035781544256120526,-232.67857142857142,1687.0,60,-8.32559860102233,52,44,35,27,19,10
서초구,방배4동,0.03954802259887006,-232.67857142857142,1687.0,67,-9.201977401129945,58,48,39,30,21,12
서초구,방배본동,0.021343377275580666,-232.67857142857142,1687.0,36,-4.966146533943144,31,26,21,16,11,6
서초구,서초1동,0.0514752040175769,-232.67857142857142,1687.0,87,-11.977176934804053,75,63,51,39,27,15
서초구,서초2동,0.08913998744507219,-232.67857142857142,1687.0,150,-20.74096493588019,130,109,88,67,47,26
서초구,서초3동,0.07470182046453233,-232.67857142857142,1687.0,126,-17.381512868801003,109,91,74,56,39,22
서초구,서초4동,0.06277463904582549,-232.67857142857142,1687.0,106,-14.606313335126895,91,77,62,47,33,18
서초구,양재1동,0.13057124921531701,-232.67857142857142,1687.0,220,-30.38113173706394,190,160,129,99,68,38
서초구,양재2동,0.052102950408035156,-232.67857142857142,1687.0,88,-12.123240068155322,76,64,52,39,27,15
서초구,잠원동,0.06591337099811675,-232.67857142857142,1687.0,111,-15.336629001883237,96,81,65,50,35,19
